Date,Private equity,Private equity returns,MSCI PRICE,MSCI TOTAL RETURN,MSCI TOTAL RETURN.1,gold,LEV LOANS INDEX,CORPORATE BONDS TR,REITs GLOBAL TR,Fama French Market,Fama French Size,Fama French Value,Fama French Robust,Fama French Conservative,Risk free
2002-12-31,1330.89,-0.004233799693137641,1261.18,2584.929,2182.57,343.25,1318.275,156.706,,178.4245575,108.6808666,172.8934011,211.2886037,181.8319905,180.6965836
2003-01-31,1326.8233333333335,-0.00306027726125091,1228.14,2522.505,2116.624,368.0,1333.427,157.489,,173.8390463,109.4090285,171.6312792,209.1123311,183.2139136,180.8772802
2003-02-28,1322.7566666666667,-0.0030696713139262144,1209.71,2484.112,2080.382,349.75,1339.245,159.713,,170.5708723,108.3915245,169.2627676,210.9316084,182.0963088,181.0400697
2003-03-31,1318.69,-0.0030791232175833017,1221.46,2507.246,2074.666,336.0,1343.309,159.743,,172.4300948,109.1285869,165.9959962,214.8760295,180.7123768,181.2211098
2003-04-30,1343.7066666666667,0.01879314473498095,1322.07,2716.722,2259.956,338.25,1357.091,161.911,,186.6038486,110.274437,167.9381493,204.8413189,182.6640705,181.4023309
2003-06-30,1393.74,0.018112349415966733,1409.48,2897.97,2432.475,347.7,1391.069,165.835,,200.7034674,117.5420848,169.1489951,191.2994887,187.5407116,181.7471586
2003-07-31,1409.4533333333334,0.01121114104388976,1434.33,2951.784,2482.328,354.7,1400.082,161.552,,205.4199989,122.9255123,167.1361221,183.2075204,191.0102148,181.8743816
2003-09-30,1440.88,0.010965272100902368,1446.77,2972.457,2552.643,385.25,1415.788,165.829,,207.6200142,126.716363,169.8797284,181.0577157,195.7420001,182.147295
2003-10-31,1483.44,0.029109676990325184,1528.62,3142.133,2704.634,387.25,1430.572,164.208,,220.2433111,130.0996899,173.1414192,178.7039654,198.6389817,182.2747981
2003-12-31,1568.56,0.02750806816276441,1622.94,3337.41,2919.442,417.25,1447.801,166.596,,232.7925877,129.6613515,179.0956833,179.830894,204.1555735,182.5483124
2004-03-31,1606.45,0.007893125000189904,1650.42,3384.481,2998.83,425.25,1469.959,170.771,,237.9439215,134.4473397,185.5236248,179.823219,206.4371518,182.950209
2004-04-30,1624.3266666666666,0.011066595408047775,1624.51,3332.517,2939.076,387.75,1478.335,167.506,,233.5895477,131.6642798,179.9208113,185.9731731,200.7394864,183.0965692
2004-05-31,1642.2033333333334,0.01094546515097683,1646.8,3376.846,2967.884,393.75,1479.389,166.645,,236.3225454,131.1112898,179.5069935,183.8344816,200.7394864,183.2064271
2004-06-30,1660.08,0.01082695789038457,1678.83,3440.639,3030.093,395.0,1487.771,167.033,,240.7181448,134.48085,181.7149295,186.0221119,199.9766764,183.3529923
2004-08-31,1701.96,0.01237977607672569,1629.83,3340.507,2946.022,410.22,1496.147,171.687,,231.1297441,129.0127578,189.4418117,198.3290447,193.8252018,183.7382352
2004-09-30,1722.9,0.012228389443843746,1647.48,3377.187,3002.696,418.0,1501.357,172.614,,234.82782,133.2314749,189.4039234,195.4731064,190.1619055,183.9403473
2004-11-30,1885.68,0.044121335952360674,1740.33,3569.833,3239.895,448.97,1516.402,174.049,,248.9994957,138.9708324,191.6699045,193.367648,190.6924021,184.4188957
